episode,game_status,total_reward,turns,agent_stars,agent_cards_left,opponents_alive
0,victory,2300.0,42,6,0,9
1,victory,2100.0,50,4,0,9
2,victory,2400.0,36,7,0,8
3,eliminated,-2300.0,59,0,1,10
4,eliminated,-2200.0,58,1,0,9
5,victory,2000.0,49,3,0,10
6,eliminated,-2300.0,29,0,3,10
7,victory,2100.0,38,4,0,9
8,victory,2200.0,79,5,0,7
9,eliminated,-2200.0,32,1,0,10
10,eliminated,-2100.0,39,2,0,10
11,eliminated,-2300.0,125,0,1,6
12,eliminated,-2100.0,117,2,0,8
13,victory,2100.0,36,4,0,9
14,eliminated,-2300.0,10,0,3,9
15,victory,2300.0,59,6,0,7
16,victory,2000.0,39,3,0,9
17,eliminated,-2300.0,10,0,3,10
18,victory,2200.0,149,5,0,7
19,victory,2100.0,53,4,0,9
20,eliminated,-2100.0,102,2,0,8
21,eliminated,-2100.0,35,2,0,10
22,eliminated,-2300.0,28,0,1,10
23,eliminated,-2300.0,11,0,6,10
24,victory,2000.0,75,3,0,10
25,victory,2300.0,20,6,0,8
26,eliminated,-2300.0,36,0,2,10
27,eliminated,-2100.0,27,2,0,8
28,eliminated,-2300.0,11,0,4,10
29,victory,2300.0,28,6,0,10
30,victory,2200.0,72,5,0,7
31,victory,2300.0,107,6,0,7
32,victory,2000.0,28,3,0,10
33,eliminated,-2300.0,26,0,2,10
34,victory,2000.0,23,3,0,10
35,eliminated,-2100.0,32,2,0,10
36,victory,2700.0,45,10,0,8
37,victory,2100.0,42,4,0,10
38,eliminated,-2300.0,18,0,3,10
39,victory,2300.0,54,6,0,7
40,victory,2000.0,49,3,0,9
41,eliminated,-2100.0,98,2,0,7
42,victory,2100.0,37,4,0,10
43,victory,2000.0,48,3,0,9
44,victory,2200.0,158,5,0,6
45,victory,2100.0,77,4,0,8
46,victory,2400.0,46,7,0,9
47,victory,2400.0,33,7,0,8
48,eliminated,-2300.0,15,0,6,10
49,eliminated,-2100.0,38,2,0,8
50,victory,2400.0,58,7,0,8
51,victory,2300.0,92,6,0,7
52,victory,2300.0,30,6,0,9
53,victory,2000.0,34,3,0,9
54,victory,2100.0,55,4,0,9
55,eliminated,-2200.0,54,1,0,8
56,victory,2000.0,25,3,0,10
57,eliminated,-2200.0,26,1,0,10
58,victory,2000.0,48,3,0,9
59,eliminated,-2300.0,22,0,3,10
60,eliminated,-2300.0,24,0,0,10
61,eliminated,-2300.0,49,0,1,10
62,victory,2100.0,73,4,0,9
63,victory,2000.0,23,3,0,10
64,eliminated,-2300.0,30,0,1,10
65,eliminated,-2100.0,41,2,0,10
66,eliminated,-2300.0,29,0,6,10
67,eliminated,-2300.0,37,0,0,8
68,eliminated,-2300.0,45,0,5,10
69,victory,2000.0,48,3,0,9
70,victory,2400.0,246,7,0,5
71,victory,2200.0,39,5,0,9
72,victory,2000.0,59,3,0,9
73,victory,2000.0,35,3,0,10
74,victory,2500.0,44,8,0,8
75,eliminated,-2300.0,47,0,0,10
76,victory,2200.0,45,5,0,8
77,victory,2200.0,59,5,0,8
78,eliminated,-2300.0,52,0,0,9
79,victory,2000.0,56,3,0,10
80,eliminated,-2300.0,20,0,1,9
81,victory,2300.0,33,6,0,7
82,eliminated,-2300.0,101,0,0,7
83,eliminated,-2200.0,67,1,0,8
84,eliminated,-2100.0,62,2,0,10
85,eliminated,-2100.0,51,2,0,9
